
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = 
     poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
1/3/4/5/6/9/10/12          71  -901.58 1951.72   0.00   0.08
1/2/3/4/5/6/9/10           74  -898.47 1952.07   0.36   0.07
1/3/4/5/6/9/10             70  -902.97 1952.32   0.60   0.06
1/2/3/4/5/6/9/10/12        75  -897.57 1952.47   0.75   0.06
1/3/4/5/6/8/9/10           71  -902.12 1952.80   1.08   0.05
1/2/3/4/5/6/8/9/10         75  -897.89 1953.12   1.40   0.04
1/3/4/5/6/9/10/11/12       72  -901.23 1953.20   1.48   0.04
1/3/4/5/6/8/9/10/12        72  -901.23 1953.21   1.49   0.04
1/2/3/4/5/6/9/10/11        75  -898.19 1953.70   1.99   0.03
1/3/4/5/6/7/9/10/12        72  -901.58 1953.90   2.19   0.03
1/3/4/5/6/9/10/11          71  -902.70 1953.95   2.23   0.03
1/3/4/5/6/8/9/10/11        72  -901.61 1953.98   2.26   0.03
1/2/3/4/5/6/9/10/11/12     76  -897.22 1953.98   2.26   0.03
1/2/3/4/5/6/9              71  -902.75 1954.05   2.33   0.03
1/2/3/4/5/6/8/9/10/12      76  -897.31 1954.16   2.44   0.02
1/2/3/4/5/6/7/9/10         75  -898.46 1954.26   2.54   0.02
1/3/4/5/6/8/9/10/11/12     73  -900.72 1954.38   2.66   0.02
1/2/3/4/5/6/8/9/10/11      76  -897.43 1954.38   2.67   0.02
1/3/4/5/6/7/9/10           71  -902.96 1954.48   2.77   0.02
1/2/3/4/5/6/7/9/10/12      76  -897.57 1954.67   2.95   0.02
1/3/4/5/6/7/8/9/10         72  -902.09 1954.93   3.21   0.02
1/2/3/4/5/6/9/12           72  -902.23 1955.21   3.49   0.01
1/2/3/4/5/6/7/8/9/10       76  -897.88 1955.28   3.57   0.01
1/2/3/4/5/6/8/9            72  -902.29 1955.32   3.60   0.01
1/3/4/5/6/7/8/9/10/12      73  -901.22 1955.39   3.67   0.01
1/3/4/5/6/7/9/10/11/12     73  -901.22 1955.39   3.67   0.01
1/2/3/4/5/6/8/9/10/11/12   77  -896.84 1955.41   3.69   0.01
1/2/3/4/5/6/9/11           72  -902.56 1955.86   4.14   0.01
1/2/3/4/5/6/7/9/10/11      76  -898.17 1955.88   4.16   0.01
1/3/4/5/6/7/8/9/10/11      73  -901.57 1956.07   4.36   0.01
1/3/4/5/6/7/9/10/11        72  -902.68 1956.10   4.39   0.01
1/2/3/4/5/6/7/9/10/11/12   77  -897.22 1956.18   4.46   0.01
1/2/3/4/5/6/7/9            72  -902.74 1956.23   4.51   0.01
1/2/3/4/5/6/7/8/9/10/12    77  -897.31 1956.35   4.64   0.01
1/3/4/5/6/9                67  -908.28 1956.40   4.68   0.01
1/2/3/4/5/6/7/8/9/10/11    77  -897.39 1956.52   4.80   0.01
1/3/4/5/6/7/8/9/10/11/12   74  -900.71 1956.54   4.83   0.01
1/3/4/5/6/9/12             68  -907.38 1956.78   5.06   0.01
1/2/3/4/5/6/8/9/11         73  -901.99 1956.92   5.20   0.01
1/2/3/4/5/6/8/9/12         73  -902.00 1956.93   5.22   0.01
1/2/3/4/5/6/9/11/12        73  -902.02 1956.97   5.26   0.01
1/3/4/5/6/8/9              68  -907.60 1957.20   5.48   0.01
1/2/3/4/5/6/7/9/12         73  -902.23 1957.40   5.69   0.00
1/2/3/4/5/6/7/8/9          73  -902.27 1957.49   5.77   0.00
1/2/3/4/5/6/7/8/9/10/11/12 78  -896.83 1957.59   5.88   0.00
1/2/3/4/5/6/7/9/11         73  -902.55 1958.03   6.32   0.00
1/3/4/5/6/9/11             68  -908.06 1958.12   6.40   0.00
1/3/4/5/6/8/9/12           69  -907.08 1958.34   6.63   0.00
1/3/4/5/6/9/11/12          69  -907.12 1958.43   6.71   0.00
1/2/3/4/5/6/8/9/11/12      74  -901.70 1958.54   6.82   0.00
1/3/4/5/6/7/9              68  -908.28 1958.56   6.85   0.00
1/3/4/5/6/8/9/11           69  -907.22 1958.63   6.91   0.00
1/3/4/5/6/7/9/12           69  -907.38 1958.96   7.24   0.00
1/2/3/4/5/6/7/8/9/11       74  -901.96 1959.06   7.34   0.00
1/2/3/4/5/6/7/8/9/12       74  -901.99 1959.12   7.41   0.00
1/2/3/4/5/6/7/9/11/12      74  -902.02 1959.17   7.45   0.00
1/3/4/5/6/7/8/9            69  -907.58 1959.34   7.63   0.00
1/3/4/5/6/8/9/11/12        70  -906.71 1959.80   8.08   0.00
1/3/4/5/6/7/9/11           69  -908.04 1960.28   8.56   0.00
1/3/4/5/6/7/8/9/12         70  -907.07 1960.52   8.80   0.00
1/3/4/5/6/7/9/11/12        70  -907.12 1960.61   8.89   0.00
1/2/3/4/5/6/7/8/9/11/12    75  -901.69 1960.72   9.00   0.00
1/3/4/5/6/7/8/9/11         70  -907.19 1960.75   9.03   0.00
1/3/4/5/6/7/8/9/11/12      71  -906.70 1961.96  10.24   0.00
1/2/3/4/5/6/10             68  -910.43 1962.87  11.15   0.00
1/2/3/4/5/6/10/11          69  -909.90 1964.00  12.28   0.00
