Trade,UpdateTime,UpdatedDay,UpdatedTime,TradeTime,TradedDay,TradedTime,Desk,CapturedBy,TradeStatus,TraderId,Instrument,Reason,Nominal,FloatRef,LastResetDate,LastResetRate,Theta,Loss,Unexplained,EventTypeCategoryLevel1,BusinessLineLevel1,LossIndicator,exposure
8702939,02/01/2013 00:16,2,0.011103469,19/08/2008 17:21,19,0.723150483,Commodities,TECHSUPPORT,BO Confirmed,MNGDIRECTOR,Swap,Trade enrichment for system flow,0,0,0,0,0,0,0,EL7,BL2,0,1596.287975
3934158,02/01/2013 00:17,2,0.011951017,19/03/2007 19:04,19,0.788958061,Derivatives,TECHSUPPORT,BO Confirmed,MNGDIRECTOR,CreditDefaultSwap,Trade enrichment for system flow,0,0,0,0,0,255524.438,0,EL7,BL2,1,2115.217442
13947209,02/01/2013 01:06,2,0.046127352,12/04/2010 09:04,12,0.37803916,Derivatives,TECHSUPPORT,BO Confirmed,MNGDIRECTOR,SecurityLoan,Early Termination / Delivery / Close out,0,0,0,0,0,0,0,EL1,BL5,0,995.6680787
2445343,02/01/2013 01:11,2,0.049048984,12/12/2006 12:24,12,0.516854792,Management/Other,TECHSUPPORT,BO Confirmed,DIRECTOR,Call Deposit,Trade enrichment for system flow,0,0,0,0,0,222262.3035,0,EL7,BL4,1,2212.532708
9480279,02/01/2013 01:16,2,0.030307922,08/01/2009 01:00,8,0.04148364,SND,TECHSUPPORT,BO Confirmed,MNGDIRECTOR,Swap,Early Termination / Delivery / Close out,0,0,0,0,0,0,0,EL1,BL2,0,1455.011169
18857862,02/01/2013 01:17,2,0.029877121,27/07/2011 08:30,27,0.312647572,Derivatives,TECHSUPPORT,BO Confirmed,ANALYST,CurrSwap,Valuation Group Request,0,0,0,0,0,0,0,EL7,BL4,0,524.6991667
19417549,02/01/2013 01:22,2,0.026555763,01/10/2011 14:04,31,0.586396027,Derivatives,TECHSUPPORT,BO Confirmed,ASSOCIATE,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL2,0,458.470706
15123047,02/01/2013 01:27,2,0.060699836,28/06/2010 10:24,28,0.399782266,Derivatives,PROD CONTROLLER,BO Confirmed,VICE PRINCIPAL,SecurityLoan,Calendar Related,0,0,0,0,0,0,0,EL6,BL4,0,918.6271412
20146750,02/01/2013 02:01,2,0.082948995,09/01/2012 02:05,9,0.080208209,Prime Services,TECHSUPPORT,BO Confirmed,DIRECTOR,Other,Payments Related,0,0,0,0,0,247424.8145,0,EL4,BL2,1,358.9971875
4818008,02/01/2013 02:13,2,0.073978373,15/07/2007 17:19,15,0.721305125,SND,TECHSUPPORT,BO Confirmed,ATS,Swap,Payments Related,0,0,0,0,0,0,0,EL4,BL2,0,1997.370937
