Trade,UpdateTime,UpdatedDay,UpdatedTime,TradeTime,TradedDay,TradedTime,Desk,CapturedBy,TradeStatus,TraderId,Instrument,Reason,Nominal,FloatRef,LastResetDate,LastResetRate,Theta,Loss,Unexplained,EventTypeCategoryLevel1,BusinessLineLevel1,LossIndicator,exposure
19417549,02/01/2013 01:22,2,0.026555763,01/10/2011 14:04,31,0.586396027,Derivatives,TECHSUPPORT,BO Confirmed,ASSOCIATE,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,458.470706
15123047,02/01/2013 01:27,2,0.060699836,28/06/2010 10:24,28,0.399782266,Derivatives,PROD CONTROLLER,BO Confirmed,VICE PRINCIPAL,SecurityLoan,Calendar Related,0,0,0,0,0,0,0,EL6,BL4,1,918.6271412
4818008,02/01/2013 02:13,2,0.073978373,15/07/2007 17:19,15,0.721305125,SND,TECHSUPPORT,BO Confirmed,ATS,Swap,Payments Related,0,0,0,0,0,0,0,EL4,BL2,1,1997.370937
22222275,02/01/2013 02:17,2,0.095409367,30/06/2012 03:27,30,0.143973976,SND,TECHSUPPORT,BO Confirmed,ANALYST,CurrSwap,Valuation Group Request,0,0,0,0,0,0,0,EL6,BL3,1,185.9514352
6440639,02/01/2013 06:08,2,0.255769323,09/01/2008 06:05,9,0.253458622,Derivatives,UNAUTHORISED,BO-BO Confirmed,VICE PRINCIPAL,Future/Forward,Payments Related,0,0,0,0,0,251355.2217,0,EL1,BL2,1,1820.00228
2821110,02/01/2013 08:12,2,0.325254166,04/02/2007 02:05,4,0.087135648,SND,TECHSUPPORT,BO Confirmed,MNGDIRECTOR,SecurityLoan,Calendar Related,0,0,0,0,0,0,0,EL6,BL3,1,2159.25478
23602269,02/01/2013 11:01,2,0.459366591,02/01/2013 09:08,2,0.380837288,MM,PROD ACCOUNTANT,Terminated,ATS,Swap,Payments Related,0,0,0,0,0,0,0,EL4,BL2,1,0.078530093
2931895,02/01/2013 18:25,2,0.767151811,11/02/2007 17:27,11,0.727135288,Prime Services,MIDOFFICE,BO-BO Confirmed,ANALYST,Repo/Reverse,Calendar Related,0,0,0,0,0,0,0,EL6,BL2,1,2152.04044
1218036,03/01/2013 01:16,3,0.052922382,31/03/2006 02:21,31,0.097715519,Management/Other,TECHSUPPORT,BO-BO Confirmed,ASSOCIATE,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,2469.954803
14097025,03/01/2013 02:17,3,0.094937618,24/03/2010 08:07,24,0.337933111,Prime Services,PROD CONTROLLER,BO-BO Confirmed,ANALYST,BuySellback,Acquirer,0,0,0,0,0,0,0,EL1,BL2,1,1015.756875
3110822,03/01/2013 04:03,3,0.168631776,03/01/2007 08:01,3,0.334359766,Equity,TECHSUPPORT,BO Confirmed,ASSOCIATE,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,2191.834502
14626402,03/01/2013 05:16,3,0.219360767,17/05/2010 15:21,17,0.639726434,Prime Services,PROD ACCOUNTANT,BO-BO Confirmed,VICE PRINCIPAL,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,961.5798032
17780264,03/01/2013 06:12,3,0.258136695,20/04/2011 02:14,20,0.093094481,Africa,TECHSUPPORT,BO Confirmed,MNGDIRECTOR,Bill,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,264093.6,0,EL6,BL3,1,624.1654398
1273595,04/01/2013 01:18,4,0.054406207,06/04/2006 00:04,6,0.003116518,Management/Other,PROD CONTROLLER,BO Confirmed,ANALYST,Swap,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,2465.051296
11440250,04/01/2013 01:20,4,0.055601955,26/06/2009 00:23,26,0.016269437,Bonds/Repos,PROD CONTROLLER,BO Confirmed,ANALYST,TotalReturnSwap,Trade enrichment for system flow,0,0,0,0,0,0,0,EL1,BL2,1,1288.039329
23692010,04/01/2013 02:27,4,0.102358158,04/01/2013 02:27,4,0.102358158,Commodities,TECHSUPPORT,BO Confirmed,DIRECTOR,SecurityLoan,Calendar Related,0,0,0,0,0,9033364.664,0,EL6,BL2,1,0
9861748,04/01/2013 07:03,4,0.293735721,09/01/2009 18:11,9,0.757582389,MM,TECHSUPPORT,BO Confirmed,ASSOCIATE,Call Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL3,1,1455.536065
4690340,04/01/2013 09:28,4,0.355673933,29/06/2007 16:26,29,0.684425044,Management/Other,PROD CONTROLLER,BO-BO Confirmed,DIRECTOR,CurrSwap,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL2,1,2015.709537
14636932,04/01/2013 16:11,4,0.674205043,01/07/2010 11:04,1,0.455635903,Bonds/Repos,TECHSUPPORT,BO-BO Confirmed,DIRECTOR,Future/Forward,Payments Related,0,0,0,0,0,0,0,EL1,BL2,1,918.2132176
15634638,07/01/2013 03:07,7,0.130084263,30/08/2010 03:29,30,0.145247425,Management/Other,MIDOFFICE,BO Confirmed,DIRECTOR,Swap,Valuation Group Request,0,0,0,0,0,0,0,EL6,BL2,1,860.984838
16525909,07/01/2013 03:10,7,0.118003882,08/01/2011 11:18,8,0.445538595,MM,UNAUTHORISED,BO Confirmed,AMBA,Call Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL2,1,729.6608681
14651713,07/01/2013 09:12,7,0.383561392,01/07/2010 11:11,1,0.465934121,Prime Services,TECHSUPPORT,BO Confirmed,ASSOCIATE,SecurityLoan,Calendar Related,0,0,0,0,0,262834.9446,0,EL6,BL2,1,920.9175579
6631174,07/01/2013 12:18,7,0.512390051,01/02/2008 12:11,1,0.507546643,Prime Services,PROD ACCOUNTANT,BO Confirmed,ASSOCIATE,Swap,Trade enrichment for system flow,0,0,0,0,0,254828.2365,0,EL1,BL2,1,1802.004873
8792536,07/01/2013 14:17,7,0.571822532,30/08/2008 05:30,30,0.187548685,Prime Services,TECHSUPPORT,BO Confirmed,ANALYST,Call Deposit,Trade enrichment for system flow,0,0,0,0,0,0,0,EL1,BL6,1,1591.366215
16062868,08/01/2013 05:21,8,0.223179474,29/10/2010 01:28,29,0.02209448,Derivatives,UNAUTHORISED,BO Confirmed,ANALYST,Call Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,264274.3731,0,EL6,BL2,1,802.1619444
24005017,08/01/2013 06:18,8,0.259343,08/01/2013 06:13,8,0.237557827,Africa,MIDOFFICE,BO-BO Confirmed,DIRECTOR,Bond,Calendar Related,0,0,0,0,0,0,0,EL7,BL2,1,0.003217593
24035950,08/01/2013 13:07,8,0.536863714,08/01/2013 12:28,8,0.480419976,SND,PROD CONTROLLER,BO-BO Confirmed,ATS,Future/Forward,Payments Related,0,0,0,0,0,260668.1837,0,EL1,BL2,1,0.027002315
24001336,08/01/2013 15:20,8,0.639104462,08/01/2013 04:19,8,0.153717568,MM,PROD CONTROLLER,BO Confirmed,ASSOCIATE,Option,Trade enrichment for system flow,0,0,0,0,0,213485.7485,0,EL6,BL3,1,0.45900463
6618402,08/01/2013 17:24,8,0.725043608,30/01/2008 14:27,30,0.602153324,Prime Services,TECHSUPPORT,BO Confirmed,ANALYST,Deposit,Brokerage Related,0,0,0,0,0,0,0,EL6,BL6,1,1805.122894
23980883,08/01/2013 18:19,8,0.737037018,08/01/2013 06:16,8,0.239130492,SND,MIDOFFICE,BO-BO Confirmed,DIRECTOR,Future/Forward,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL3,1,0.502071759
14047811,09/01/2013 14:15,9,0.573017145,21/03/2010 09:02,21,0.373769187,Derivatives,MIDOFFICE,BO-BO Confirmed,ANALYST,FRA,Trade enrichment for system flow,0,0,0,0,0,0,0,EL1,BL4,1,1025.217303
23007383,09/01/2013 14:22,9,0.56800508,26/10/2012 15:03,26,0.626840142,Equity,TECHSUPPORT,BO Confirmed,ANALYST,TotalReturnSwap,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL2,1,74.97133102
17593494,09/01/2013 15:28,9,0.605849271,11/04/2011 10:22,11,0.432173769,Rates,TECHSUPPORT,BO Confirmed,ASSOCIATE,Option,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL2,1,639.2125579
11584384,10/01/2013 08:14,10,0.32381007,10/07/2009 01:12,10,0.049912239,Derivatives,TECHSUPPORT,BO Confirmed,ASSOCIATE,SecurityLoan,Calendar Related,0,0,0,0,0,0,0,EL6,BL2,1,1280.29316
9818761,10/01/2013 10:05,10,0.413433396,06/01/2009 16:02,6,0.667864287,MM,TECHSUPPORT,BO Confirmed,ASSOCIATE,Stock,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL4,1,1464.75213
24136083,10/01/2013 12:11,10,0.507440179,10/01/2013 12:11,10,0.507440179,SND,PROD ACCOUNTANT,BO Confirmed,ANALYST,Option,Trade enrichment for system flow,0,0,0,0,0,0,0,EL6,BL3,1,0
22097162,10/01/2013 14:25,10,0.566197434,08/07/2012 13:10,8,0.548656646,Management/Other,TECHSUPPORT,BO Confirmed,ASSOCIATE,Call Deposit,Capture Errors - Direction / Amount / Rate / CP,0,0,0,0,0,0,0,EL6,BL2,1,186.0522569
