Trade,UpdateTime,UpdatedDay,UpdatedTime,TradeTime,TradedDay,TradedTime,Desk,CapturedBy,TradeStatus,TraderId,Instrument,Reason,Nominal,FloatRef,LastResetDate,LastResetRate,Theta,Loss,Unexplained,EventTypeCategoryLevel1,BusinessLineLevel1,LossIndicator,exposure
1947979,26/11/2013 14:00,26,0.583203757,14/06/2006 12:19,14,0.487023576,7,2,2,2,18,3,0,0,0,0,0,0,0,3,3,1,2722.070046
13686067,03/12/2013 01:05,3,0.044908774,17/01/2010 08:12,17,0.324998247,4,4,2,6,5,3,0,0,0,0,0,0,0,3,2,1,1415.703704
1436153,30/04/2013 06:00,30,0.249723092,01/05/2006 15:24,1,0.608330944,8,4,1,5,21,3,0,0,0,0,0,258493.847,0,3,6,1,2555.608611
9182784,01/11/2013 00:27,1,0.018431637,17/09/2008 14:15,17,0.572985276,10,4,1,3,6,4,0,0,0,0,0,0,0,3,3,1,1870.425255
16412621,30/08/2013 04:28,30,0.147215337,10/01/2011 06:27,10,0.231297048,4,1,2,6,6,5,0,0,0,0,0,0,0,3,2,1,962.9173264
3091444,25/07/2013 12:25,25,0.517256057,20/01/2007 07:17,20,0.303682402,4,4,2,2,21,4,0,0,0,0,0,0,0,3,4,1,2378.213785
25179173,08/10/2013 18:09,8,0.743708308,12/06/2013 04:03,12,0.168737295,10,4,1,2,10,3,0,0,0,0,0,253109.6356,0,3,3,1,118.5875347
15890515,20/02/2013 03:21,20,0.110724829,06/11/2010 16:06,6,0.662822855,10,4,2,3,4,4,0,0,0,0,0,0,0,3,2,1,836.4687384
16220693,06/09/2013 15:01,6,0.624197639,21/12/2010 13:24,21,0.558579143,3,4,1,5,2,3,0,0,0,0,0,0,0,3,2,1,990.0672222
9221338,30/09/2013 04:17,30,0.178620235,26/11/2008 04:09,26,0.16069681,10,4,1,2,12,9,0,0,0,0,0,0,0,1,3,1,1769.005428
2032296,05/07/2013 15:25,5,0.642145752,29/07/2006 02:06,29,0.079374155,8,4,1,2,12,9,0,0,0,0,0,0,0,1,2,1,2533.554873
19711445,03/10/2013 06:15,3,0.239541193,17/11/2011 16:07,17,0.661712696,6,3,2,2,4,4,0,0,0,0,0,0,0,3,2,1,685.5888426
15397241,28/11/2013 05:15,28,0.197725258,30/07/2010 18:20,30,0.736185583,1,4,1,6,5,3,0,0,0,0,0,0,0,3,3,1,1216.454988
19100160,18/04/2013 15:24,18,0.641753193,05/08/2011 06:14,5,0.240190372,2,4,2,6,8,12,0,0,0,0,0,217954.6615,0,4,2,1,622.3819329
5750440,08/07/2013 05:14,8,0.198793533,08/10/2007 15:05,8,0.628187798,8,4,1,2,12,9,0,0,0,0,0,212649.5861,0,1,2,1,2099.589479
10977439,29/11/2013 02:03,29,0.081360143,19/04/2009 05:27,19,0.226855314,10,4,1,3,21,3,0,0,0,0,0,269484.7919,0,3,4,1,1684.858218
22425222,13/12/2013 18:15,13,0.760460475,19/07/2012 13:06,19,0.546138671,3,5,2,5,6,5,0,0,0,0,0,256394.196,0,3,2,1,512.2143287
1286737,11/02/2013 11:27,11,0.476751667,01/06/2006 17:01,1,0.707535598,10,5,1,2,20,10,0,0,0,0,0,0,0,3,2,1,2446.768287
14800875,12/07/2013 01:07,12,0.036728915,13/06/2010 03:06,13,0.120655243,7,1,2,5,4,12,0,0,0,0,0,221286.2491,0,1,5,1,1124.917269
24961144,02/08/2013 06:22,2,0.23440091,22/05/2013 14:20,22,0.597142398,2,1,2,6,15,12,0,0,0,0,0,0,0,3,2,1,71.66829861
18211159,20/11/2013 01:26,20,0.059646216,03/06/2011 07:02,3,0.293305709,1,4,2,1,15,12,0,0,0,0,0,0,0,3,3,1,900.7664931
1421480,20/02/2013 13:24,20,0.558626409,14/06/2006 18:09,14,0.743872594,5,3,2,1,11,3,0,0,0,0,0,0,0,3,2,1,2442.802245
24384202,18/12/2013 15:10,18,0.632130344,15/03/2013 14:03,15,0.581567454,6,4,2,6,8,4,0,0,0,0,0,0,0,3,6,1,278.0464005
4906882,29/11/2013 04:20,29,0.180793352,05/06/2007 12:09,5,0.505990414,4,3,2,2,15,12,0,0,0,0,0,0,0,3,2,1,2368.674294
23509153,29/01/2013 14:09,29,0.577130119,01/01/2013 08:17,1,0.345397406,6,5,2,5,15,12,0,0,0,0,0,0,0,3,2,1,28.24423611
4532306,23/07/2013 00:23,23,0.016285363,03/06/2007 05:07,3,0.213339613,2,2,2,5,6,4,0,0,0,0,0,0,0,3,2,1,2241.80294
7054345,03/06/2013 09:09,3,0.381412894,22/03/2008 16:14,22,0.65712958,7,4,2,5,18,3,0,0,0,0,0,0,0,3,5,1,1898.704838
10661364,19/11/2013 03:29,19,0.144976512,19/03/2009 15:12,19,0.616658557,1,4,3,5,20,9,0,0,0,0,0,0,0,1,2,1,1705.511956
20845775,01/07/2013 01:23,1,0.057697787,05/04/2012 16:18,5,0.67906441,6,4,1,2,11,3,0,0,0,0,0,263481.8016,0,4,8,1,451.3784259
7189849,31/10/2013 01:11,31,0.049588461,30/04/2008 10:16,30,0.405680531,7,4,2,2,20,9,0,0,0,0,0,256582.8721,0,1,5,1,2009.621678
21071660,04/10/2013 11:07,4,0.453385126,04/04/2012 02:02,4,0.084694385,7,2,2,2,1,4,0,0,0,0,0,0,0,3,3,1,548.3785417
1583649,23/10/2013 14:19,23,0.59657753,01/07/2006 06:26,1,0.231605231,4,5,2,7,12,9,0,0,0,0,0,0,0,1,2,1,2671.328183
23729824,31/05/2013 14:24,31,0.566464888,23/01/2013 07:14,23,0.301062805,7,4,1,7,10,3,0,0,0,0,0,240483.0862,0,3,3,1,128.2984838
930010,17/09/2013 01:07,17,0.046279337,26/03/2006 17:02,26,0.709920843,4,4,1,3,7,3,0,0,0,0,0,0,0,3,2,1,2731.336852
2821110,02/01/2013 08:12,2,0.325254166,04/02/2007 02:05,4,0.087135648,10,4,2,6,18,3,0,0,0,0,0,0,0,3,3,1,2159.25478
