Trade;UpdateTime;UpdatedDay;UpdatedTime;TradeTime;TradedDay;TradedTime;Desk;CapturedBy;TradeStatus;TraderId;Instrument;Reason;Nominal;FloatRef;LastResetDate;LastResetRate;Theta;Loss;Unexplained;EventTypeCategoryLevel1;BusinessLineLevel1;LossIndicator;exposure
4002195;2013/11/21 00:15;21;0.010158688;2007/04/15 12:11;15;0.507738031;9;4;2;2;13;3;0;0;0;0;0;0;0;3;2;0;2411.502928
25268970;2013/04/23 16:27;23;0.648083069;2013/04/19 04:03;19;0.168905426;13;4;2;3;13;10;0;0;0;0;0;0;0;2;2;0;4.516678241
1441407;2013/05/31 10:06;31;0.412357784;2006/06/01 11:19;1;0.445158417;12;4;1;3;14;12;0;0;0;0;0;0;0;4;2;0;2555.949421
22645996;2013/08/13 15:14;13;0.615037804;2012/09/04 14:16;4;0.571950883;6;1;1;7;14;12;0;0;0;0;0;0;0;4;2;0;343.0402546
15885947;2013/11/25 06:02;25;0.248342883;2010/10/05 13:09;5;0.547941697;12;4;3;5;22;18;0;0;0;0;0;9029786.214;0;4;5;1;1146.703715
4904362;2013/04/02 15:01;2;0.624511518;2007/07/01 18:03;31;0.752087027;13;4;1;4;16;16;0;0;0;0;0;0;0;4;2;0;2101.873819
24251168;2013/11/21 07:29;21;0.311490633;2013/02/28 12:17;28;0.511701504;2;4;1;5;14;12;0;0;0;0;0;251800.6943;0;4;2;1;265.8002083
11243137;2013/12/05 04:27;5;0.185587682;2009/05/01 14:10;1;0.576088878;5;3;2;5;20;9;0;0;0;0;0;0;0;1;5;0;1678.595012
19813670;2013/09/16 06:11;16;0.257606565;2011/12/14 09:03;14;0.372627583;17;4;2;2;18;9;0;0;0;0;0;264409.0616;0;1;2;1;641.8803009
20108339;2013/08/30 18:04;30;0.752941556;2012/01/06 13:24;6;0.525111989;13;3;1;5;18;8;0;0;0;0;0;0;0;2;2;0;602.1944907
16029748;2013/01/24 07:16;24;0.302860649;2010/10/24 19:07;24;0.78697856;12;4;1;3;18;4;0;0;0;0;0;250803.5749;0;4;5;1;822.5061574
19734000;2013/04/03 16:00;3;0.666798678;2011/11/29 09:14;29;0.364973386;17;3;2;2;22;16;0;0;0;0;0;0;0;4;2;0;491.2817708
12583197;2013/03/14 14:24;14;0.600329087;2009/11/02 09:09;2;0.381319713;13;4;2;3;7;6;0;0;0;0;0;255931.4898;0;4;2;1;1228.219005
25628218;2013/09/27 09:05;27;0.378710897;2013/07/06 12:14;6;0.509489366;6;5;1;5;22;12;0;0;0;0;0;270799.4499;0;2;2;1;82.86876157
10419758;2013/06/06 07:24;6;0.308231219;2009/03/16 08:14;16;0.343125372;11;3;2;2;8;4;0;0;0;0;0;0;0;4;2;0;1542.965313
6730291;2013/10/18 17:09;18;0.714455996;2008/01/10 03:19;10;0.13834127;6;4;1;5;8;3;0;0;0;0;0;0;0;4;2;0;2108.576366
17230628;2013/07/19 05:26;19;0.190014799;2011/03/24 13:12;24;0.533652219;15;4;2;3;22;16;0;0;0;0;0;0;0;4;2;0;847.676331
2025048;2013/10/07 06:05;7;0.246697066;2006/06/24 05:28;24;0.22773486;17;3;1;3;13;16;0;0;0;0;0;0;0;4;3;0;2662.025822
20603732;2013/12/24 15:00;24;0.625197846;2012/02/27 00:20;27;0.013723842;7;3;2;5;20;16;0;0;0;0;0;0;0;4;2;0;666.6111458
18919740;2013/06/05 02:01;5;0.082457924;2011/08/01 00:29;1;0.020454985;14;4;2;2;20;9;0;0;0;0;0;0;0;1;8;0;674.0637616
